NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
268	2.978	16.985	1.415	13.356	0.077	0.988	4000.0
269	3.834	21.261	1.71	15.859	0.094	0.987	5000.0
270	3.971	22.666	1.949	18.27	0.084	0.982	3000.0
271	3.236	18.184	1.56	14.8	0.095	0.982	3000.0
272	3.266	18.098	1.45	13.169	0.074	0.989	8000.0
273	4.151	23.654	2.053	18.744	0.108	0.979	2000.0
274	2.827	15.586	1.572	13.989	0.064	0.988	3000.0
275	3.686	20.479	1.808	17.427	0.096	0.982	4000.0
276	3.51	19.764	1.692	15.692	0.087	0.986	3000.0
277	4.361	24.312	2.089	19.296	0.095	0.979	2000.0
278	4.008	22.656	1.924	18.043	0.087	0.984	5000.0
279	3.342	18.666	1.619	15.277	0.073	0.985	5000.0
280	3.519	19.878	1.671	15.506	0.076	0.99	3000.0
281	3.9	22.556	2.055	19.267	0.091	0.978	2000.0
282	3.472	20.029	1.755	15.787	0.094	0.987	3000.0
283	3.293	18.395	1.535	14.606	0.081	0.984	2000.0
284	4.889	27.546	2.444	23.099	0.171	0.963	31000.0
285	4.71	26.236	2.129	20.686	0.112	0.975	3000.0
286	4.627	26.539	2.421	23.706	0.108	0.965	3000.0
287	3.305	18.687	1.711	15.929	0.089	0.983	3000.0
288	3.349	18.792	1.744	15.881	0.053	0.988	3000.0
289	3.223	17.937	1.579	13.7	0.067	0.991	8000.0
290	3.239	18.113	1.63	14.644	0.071	0.989	3000.0
291	4.089	23.061	1.88	16.991	0.093	0.982	11000.0
292	2.746	15.066	1.304	11.446	0.056	0.992	5000.0
293	4.134	23.1	1.901	18.541	0.116	0.978	5000.0
294	3.85	21.538	1.839	16.827	0.1	0.978	3000.0
295	4.612	26.223	2.272	19.964	0.123	0.97	2000.0
296	4.787	26.753	2.271	20.07	0.119	0.977	3000.0
297	3.073	17.278	1.529	13.168	0.075	0.991	3000.0
298	4.063	23.569	1.887	17.155	0.117	0.978	3000.0
299	4.04	23.196	1.902	17.699	0.098	0.981	3000.0
300	4.234	23.937	2.08	19.0	0.107	0.98	4000.0
301	4.591	26.482	2.24	21.228	0.106	0.976	2000.0
302	5.168	29.796	2.544	24.575	0.128	0.968	4000.0
303	4.115	23.822	2.051	20.13	0.1	0.973	3000.0
304	3.975	22.238	1.963	17.358	0.105	0.985	2000.0
305	4.171	23.35	2.162	18.979	0.084	0.986	5000.0
306	3.553	20.322	1.84	16.621	0.088	0.985	2000.0
307	6.334	35.505	3.225	30.69	0.129	0.954	3000.0
308	4.864	27.211	2.378	20.865	0.105	0.982	3000.0
309	2.639	15.17	1.322	12.506	0.048	0.992	2000.0
310	3.572	20.107	1.7	15.926	0.092	0.986	5000.0
311	5.181	28.458	2.54	22.185	0.113	0.974	3000.0
312	3.636	20.039	1.774	16.588	0.074	0.98	4000.0
313	5.338	30.11	2.512	23.933	0.137	0.967	2000.0
314	3.872	22.293	1.81	15.922	0.101	0.988	2000.0
315	5.016	27.619	2.245	22.879	0.116	0.968	3000.0
316	4.162	23.631	1.995	19.606	0.094	0.976	3000.0
317	5.012	27.951	2.615	23.103	0.1	0.968	2000.0
318	3.49	19.437	1.878	17.306	0.103	0.973	4000.0
319	3.752	21.455	1.846	17.413	0.099	0.98	2000.0
320	5.358	29.486	2.734	25.483	0.097	0.959	3000.0
321	3.982	22.636	2.134	19.445	0.088	0.978	2000.0
322	3.909	22.177	2.02	17.882	0.066	0.981	4000.0
323	4.251	23.677	1.859	16.658	0.109	0.984	4000.0
324	5.004	28.253	2.467	24.766	0.109	0.965	2000.0
325	3.738	21.488	1.963	17.676	0.073	0.983	2000.0
326	2.413	13.667	1.196	10.225	0.054	0.995	3000.0
