NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
417	4.335	24.767	2.24	20.79	0.118	0.972	2000.0
418	4.129	23.011	2.006	19.039	0.103	0.977	3000.0
419	4.648	26.031	2.352	20.737	0.114	0.978	3000.0
420	4.106	22.95	2.102	18.94	0.079	0.981	2000.0
421	4.658	26.731	2.331	22.488	0.102	0.976	3000.0
422	4.688	26.313	2.099	19.746	0.133	0.976	2000.0
423	3.083	17.535	1.493	13.476	0.08	0.989	9000.0
424	3.88	21.845	1.923	17.229	0.095	0.986	2000.0
425	4.963	27.952	2.183	20.641	0.128	0.974	2000.0
426	4.529	24.724	2.104	19.559	0.1	0.982	3000.0
427	2.977	17.034	1.454	12.401	0.072	0.992	3000.0
428	4.194	23.234	1.922	16.105	0.113	0.987	3000.0
429	3.295	18.218	1.476	14.599	0.078	0.988	2000.0
430	3.528	20.746	1.792	16.802	0.075	0.98	21000.0
431	3.888	22.151	1.984	18.083	0.08	0.982	5000.0
432	2.783	15.471	1.278	11.426	0.075	0.992	5000.0
433	2.921	16.361	1.417	12.908	0.076	0.989	3000.0
434	3.856	21.579	1.856	16.653	0.088	0.986	3000.0
435	3.612	20.565	1.786	16.06	0.08	0.986	3000.0
436	2.738	15.157	1.326	12.193	0.06	0.992	5000.0
437	3.926	22.554	2.0	18.698	0.065	0.977	10000.0
438	5.276	29.98	2.732	25.284	0.143	0.962	3000.0
439	4.171	23.553	1.957	18.044	0.093	0.982	2000.0
440	3.732	21.092	1.7	16.139	0.091	0.984	3000.0
441	3.486	19.515	1.647	13.535	0.093	0.991	3000.0
442	3.328	19.202	1.818	15.572	0.077	0.987	3000.0
443	3.414	19.165	1.702	14.349	0.076	0.988	2000.0
444	4.564	25.693	2.23	20.682	0.099	0.975	5000.0
445	3.606	20.45	1.764	15.129	0.078	0.989	5000.0
446	3.882	21.956	1.848	17.626	0.091	0.982	3000.0
447	4.223	23.224	2.048	18.807	0.113	0.979	2000.0
448	4.12	22.888	1.902	17.229	0.089	0.982	2000.0
449	4.641	26.419	2.377	21.256	0.119	0.975	4000.0
450	3.647	20.351	1.733	15.853	0.084	0.988	4000.0
451	4.891	27.346	2.462	21.838	0.105	0.973	2000.0
452	4.286	24.074	1.962	17.886	0.125	0.981	9000.0
453	3.362	18.906	1.56	14.899	0.067	0.987	4000.0
454	4.518	25.417	2.138	19.334	0.108	0.982	5000.0
455	4.966	27.473	2.509	22.933	0.104	0.966	3000.0
456	3.809	21.844	1.855	16.961	0.098	0.984	3000.0
457	4.415	24.773	2.323	21.687	0.092	0.971	2000.0
458	5.408	30.295	2.552	23.961	0.132	0.97	3000.0
459	3.78	21.05	1.648	15.881	0.107	0.983	2000.0
