MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
2:LOH:1Mb-10Mb	3.3759835989712884e-06	3.7027999322560844e-06	3.7930089010842492e-06	3.480893189571318e-06	3.7517295511662185e-06	3.971425578103718e-06	4.082276970174105e-06	4.023786441459287e-06	3.6668164928460253e-06
2:LOH:10Mb-40Mb	3.3759956960466296e-06	3.702805321651681e-06	3.793031057512053e-06	3.4808550095435573e-06	3.7517928474571943e-06	3.971420209223253e-06	4.082290809957177e-06	4.0238506532275505e-06	3.666712667064945e-06
2:LOH:>40Mb	3.3760076559019582e-06	3.7028089028936505e-06	3.7929527993583177e-06	3.4809691656047956e-06	3.751486792027114e-06	3.971355663045295e-06	4.082252332189702e-06	4.023928428027956e-06	3.6668855557331805e-06
3-4:LOH:0-100kb	3.3759977141016862e-06	3.7028037903681365e-06	3.7930198990352436e-06	3.4808809040943783e-06	3.7517238389747688e-06	3.9714036070561675e-06	4.0822795719005125e-06	4.023874109227332e-06	3.666757244290395e-06
3-4:LOH:100kb-1Mb	3.375981870817668e-06	3.7027867083061495e-06	3.7929837113779286e-06	3.480950359080956e-06	3.7516181522884804e-06	3.9714396288719204e-06	4.082265389239611e-06	4.023679604078012e-06	3.666928011687564e-06
3-4:LOH:1Mb-10Mb	3.3760069729851237e-06	3.7027911800251443e-06	3.7930233339693587e-06	3.4809005686979208e-06	3.751669994376498e-06	3.971401034310929e-06	4.082277488474262e-06	4.023859150323273e-06	3.6667851262805613e-06
3-4:LOH:10Mb-40Mb	3.3759756303197717e-06	3.7028082523207216e-06	3.793082670313197e-06	3.4808193360422517e-06	3.751902873287554e-06	3.971441979530588e-06	4.082270059722405e-06	4.0237877350824404e-06	3.666701207625098e-06
3-4:LOH:>40Mb	3.375997716943857e-06	3.702810527151712e-06	3.792988148575205e-06	3.4808883486433534e-06	3.7517113357600327e-06	3.971391219422582e-06	4.082292775091937e-06	4.023902732030849e-06	3.666778425846939e-06
5-8:LOH:0-100kb	3.3760053385094577e-06	3.7027898334187627e-06	3.7930302286213193e-06	3.480883791547169e-06	3.7517320273471974e-06	3.971417792550169e-06	4.082293962606705e-06	4.02381010649086e-06	3.6667666905247948e-06
5-8:LOH:100kb-1Mb	3.3759767131869013e-06	3.702792109763209e-06	3.7930109433546022e-06	3.480892021123572e-06	3.7517313850414447e-06	3.971438143958173e-06	4.082272994205913e-06	4.0237777618836735e-06	3.6668365318901213e-06
