MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
2:LOH:1Mb-10Mb	3.710493557264272e-06	3.4646741742108135e-06	3.72331824110006e-06	3.6870139742859466e-06	3.516197264616494e-06	3.8585833583510975e-06	4.020027140995808e-06	3.994307762695826e-06
2:LOH:10Mb-40Mb	3.7104936041032486e-06	3.4646741769392977e-06	3.723318204720272e-06	3.6870139417715107e-06	3.5161972600690206e-06	3.858583384726444e-06	4.020027140086313e-06	3.9943077417774475e-06
2:LOH:>40Mb	3.7104935768184078e-06	3.4646741764845502e-06	3.7233182247291552e-06	3.6870139631446363e-06	3.5161972587047783e-06	3.8585833667639236e-06	4.0200271396315655e-06	3.994307750872394e-06
3-4:LOH:0-100kb	3.7104936259311217e-06	3.464674177848792e-06	3.723318191987346e-06	3.687013930402827e-06	3.5161972564310416e-06	3.858583399050986e-06	4.020027137812577e-06	3.994307724951795e-06
3-4:LOH:100kb-1Mb	3.7104935922798177e-06	3.4646741764845502e-06	3.723318215179461e-06	3.687013946546358e-06	3.516197265525989e-06	3.858583375631497e-06	4.020027141450555e-06	3.994307750417647e-06
3-4:LOH:1Mb-10Mb	3.7104935645402294e-06	3.464674180122529e-06	3.7233182379168284e-06	3.6870139695110994e-06	3.516197257795284e-06	3.8585833624438234e-06	4.0200271396315655e-06	3.994307748598658e-06
3-4:LOH:10Mb-40Mb	3.7104938924130693e-06	3.464674167389603e-06	3.7233179928080064e-06	3.687013727358135e-06	3.5161972737114412e-06	3.858583534338322e-06	4.020027155092975e-06	3.9943076453710094e-06
3-4:LOH:>40Mb	3.710493704147666e-06	3.4646741719370764e-06	3.7233181305964534e-06	3.68701386810244e-06	3.5161972650712414e-06	3.858583434976026e-06	4.020027145088534e-06	3.994307704942912e-06
5-8:LOH:0-100kb	3.7104935336174095e-06	3.464674177848792e-06	3.7233182551972276e-06	3.6870139888378616e-06	3.5161972591595257e-06	3.858583350620393e-06	4.020027136448334e-06	3.994307760876836e-06
5-8:LOH:100kb-1Mb	3.7104936477589947e-06	3.464674172391824e-06	3.723318175161694e-06	3.6870139072107123e-06	3.5161972627975047e-06	3.858583411329164e-06	4.02002714236005e-06	3.99430772768028e-06
5-8:LOH:1Mb-10Mb	3.710493582275376e-06	3.4646741733013187e-06	3.7233182215459237e-06	3.6870139567781737e-06	3.5161972659807363e-06	3.858583371538771e-06	4.020027139176818e-06	3.9943077458701735e-06
5-8:LOH:10Mb-40Mb	3.710493583639618e-06	3.4646741792130344e-06	3.723318222000671e-06	3.6870139595066574e-06	3.516197257795284e-06	3.8585833749493755e-06	4.020027137357829e-06	3.99430774314169e-06
5-8:LOH:>40Mb	3.7104936423020264e-06	3.4646741764845502e-06	3.7233181797091673e-06	3.6870139188067696e-06	3.5161972591595257e-06	3.858583402234217e-06	4.020027145088534e-06	3.994307718130586e-06
9+:LOH:0-100kb	3.7104938423908606e-06	3.4646741705728346e-06	3.7233180310067837e-06	3.687013765784286e-06	3.5161972691639674e-06	3.858583504552371e-06	4.020027153728733e-06	3.994307662196661e-06
9+:LOH:100kb-1Mb	3.710493578637397e-06	3.4646741773940447e-06	3.72331822563865e-06	3.687013958597163e-06	3.51619726188801e-06	3.8585833729030125e-06	4.02002714054106e-06	3.994307744960679e-06
9+:LOH:1Mb-10Mb	3.710493652306468e-06	3.4646741733013187e-06	3.723318169249978e-06	3.68701390584647e-06	3.516197263252252e-06	3.858583408828053e-06	4.020027140995808e-06	3.994307722223312e-06
9+:LOH:10Mb-40Mb	3.7104936595824256e-06	3.4646741728465713e-06	3.7233181637930104e-06	3.6870138958420284e-06	3.5161972641617466e-06	3.858583414967143e-06	4.020027147362271e-06	3.9943077199495745e-06
9+:LOH:>40Mb	3.7104935699971977e-06	3.4646741783035395e-06	3.723318231095618e-06	3.6870139672373623e-06	3.516197260523768e-06	3.858583364262813e-06	4.020027138722071e-06	3.994307748598658e-06
2:het:0-100kb	2.8663882965122848e-06	0.00047195929607752934	0.0007075985945347723	0.009165324539526962	0.013893739741236004	0.00019633709385534704	0.0011458262773679309	0.011083362809391645
2:het:100kb-1Mb	3.7104935618117453e-06	3.4646741764845502e-06	3.7233182356430917e-06	3.6870139713300887e-06	3.516197259614273e-06	3.858583361761703e-06	4.020027138722071e-06	3.994307750872394e-06
2:het:1Mb-10Mb	0.03734706709349433	0.01849434955757331	0.02886142771834595	0.004582697613501701	0.02487475569186694	0.09442763073308147	0.01650174150066745	0.041127369331105126
2:het:10Mb-40Mb	0.03460878897312458	0.03433083974548592	0.027785700185930493	0.04543435577968419	0.04310789313757695	0.04331780459585367	0.35744624505242245	0.07179942875114534
2:het:>40Mb	0.05724800298642413	0.0378568894625517	0.051228946019357985	0.10895161091046038	0.053012340590161154	0.04362639041063865	0.07074031680131176	0.22717961365060435
3-4:het:0-100kb	0.0359105904482942	0.0332518617430004	0.0236673233474613	0.014589495491576277	0.04045399467121142	0.06546228375341798	0.02378923655275686	0.007374229504681265
3-4:het:100kb-1Mb	3.710493560447503e-06	3.464674177848792e-06	3.723318238371576e-06	3.687013971784836e-06	3.5161972591595257e-06	3.858583363353318e-06	4.020027137812577e-06	3.994307747234416e-06
3-4:het:1Mb-10Mb	0.033070748762990036	0.03239069431241492	0.034435267813788514	0.013698307191414964	0.047061317868466804	0.031923163212851324	0.11355693824515524	0.06975148825547654
3-4:het:10Mb-40Mb	0.23165595590415866	0.07266882585970319	0.09663998076539958	0.07418685389864166	0.07209209768089628	0.403604290548712	0.07007126005295743	0.0985663335527217
3-4:het:>40Mb	0.3531264777831392	0.5543270336389542	0.15191306716301525	0.22744617389824032	0.0922901036662797	0.1003790898799235	0.07753665349944064	0.12453454065000095
5-8:het:0-100kb	3.7104935804563867e-06	3.464674173756066e-06	3.7233182224554185e-06	3.6870139554139314e-06	3.5161972609785154e-06	3.858583372675639e-06	4.020027141905303e-06	3.9943077413227e-06
5-8:het:100kb-1Mb	3.71049360046527e-06	3.4646741805772762e-06	3.7233182133604713e-06	3.687013953594942e-06	3.5161972573405365e-06	3.858583378587355e-06	4.020027135084092e-06	3.994307742686942e-06
5-8:het:1Mb-10Mb	3.710493577273155e-06	3.464674176029803e-06	3.7233182279123868e-06	3.687013964054131e-06	3.5161972587047783e-06	3.858583370401902e-06	4.020027134174597e-06	3.994307744505931e-06
5-8:het:10Mb-40Mb	3.7104936764080774e-06	3.4646741733013187e-06	3.7233181537885683e-06	3.6870138917493024e-06	3.516197264616494e-06	3.858583421788353e-06	4.02002714054106e-06	3.994307720404322e-06
5-8:het:>40Mb	3.710493577273155e-06	3.4646741728465713e-06	3.7233182265481445e-06	3.687013955868679e-06	3.516197263706999e-06	3.8585833729030125e-06	4.020027139176818e-06	3.994307748598658e-06
9+:het:0-100kb	3.710493636845058e-06	3.4646741773940447e-06	3.723318181528157e-06	3.6870139149414173e-06	3.51619726188801e-06	3.858583402688964e-06	4.02002714054106e-06	3.994307728589775e-06
9+:het:100kb-1Mb	3.7104935922798177e-06	3.464674175120308e-06	3.7233182188174395e-06	3.6870139540496895e-06	3.516197260523768e-06	3.85858337517675e-06	4.020027131900861e-06	3.994307749508152e-06
9+:het:1Mb-10Mb	3.710493807830062e-06	3.464674170118087e-06	3.72331805738213e-06	3.687013797161853e-06	3.5161972691639674e-06	3.85858348408874e-06	4.02002714918126e-06	3.994307675839082e-06
9+:het:10Mb-40Mb	3.7104935722709344e-06	3.4646741755750554e-06	3.7233182279123868e-06	3.687013960416152e-06	3.516197260523768e-06	3.858583371538771e-06	4.020027140995808e-06	3.994307751781889e-06
9+:het:>40Mb	3.7104936104697117e-06	3.464674175120308e-06	3.7233181992633036e-06	3.6870139372240373e-06	3.5161972627975047e-06	3.8585833863180595e-06	4.020027141905303e-06	3.9943077354109844e-06
