NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
431	13.13	48.907	5.823	43.899	0.2	0.885	2000.0
432	10.844	40.479	4.597	38.479	0.186	0.903	2000.0
433	12.141	45.586	4.8	41.179	0.211	0.895	3000.0
434	10.685	39.875	4.299	35.898	0.16	0.923	2000.0
435	12.113	45.402	5.39	43.312	0.213	0.88	2000.0
436	11.042	41.212	4.391	37.539	0.158	0.919	3000.0
437	10.892	40.629	4.445	37.161	0.163	0.916	5000.0
438	10.878	40.592	4.277	35.633	0.173	0.926	2000.0
439	11.59	43.119	4.739	38.592	0.189	0.908	3000.0
440	9.783	36.493	3.976	33.426	0.15	0.928	2000.0
441	10.361	38.498	4.08	33.903	0.163	0.934	3000.0
442	10.786	40.193	4.372	34.998	0.183	0.927	2000.0
443	12.822	48.043	5.252	43.554	0.221	0.886	2000.0
444	12.292	45.909	5.378	44.232	0.192	0.888	2000.0
445	11.197	41.709	4.536	37.632	0.187	0.913	2000.0
446	11.757	43.662	5.071	39.018	0.202	0.906	2000.0
447	13.717	51.122	5.707	48.133	0.225	0.858	2000.0
448	10.749	40.245	4.204	35.55	0.179	0.926	3000.0
449	12.226	45.841	4.942	42.141	0.214	0.893	2000.0
450	9.506	35.597	3.717	32.563	0.161	0.924	3000.0
451	12.617	47.077	5.515	42.58	0.216	0.893	2000.0
452	12.499	46.674	5.553	43.605	0.2	0.882	3000.0
453	11.082	41.425	4.433	37.311	0.182	0.912	3000.0
454	10.748	40.094	4.32	36.604	0.165	0.919	2000.0
455	10.57	39.607	4.436	35.562	0.177	0.918	3000.0
456	11.269	41.805	4.957	40.284	0.171	0.901	3000.0
457	11.067	41.255	4.468	36.231	0.186	0.915	3000.0
458	11.416	42.637	4.784	40.416	0.187	0.9	4000.0
459	10.515	39.332	4.666	38.838	0.175	0.912	2000.0
460	12.549	46.873	5.306	44.464	0.218	0.879	2000.0
461	11.571	43.272	4.759	39.951	0.184	0.902	2000.0
462	12.023	44.987	4.907	41.552	0.18	0.891	3000.0
463	11.46	42.771	4.461	37.898	0.206	0.904	4000.0
464	9.41	35.194	3.923	34.582	0.16	0.924	4000.0
465	11.229	42.014	4.61	40.351	0.168	0.901	2000.0
466	13.649	50.954	5.483	47.738	0.214	0.864	2000.0
467	11.074	41.416	4.318	36.527	0.187	0.917	2000.0
468	12.033	44.88	4.834	40.86	0.213	0.892	8000.0
469	10.381	38.635	4.296	35.086	0.176	0.927	3000.0
470	10.414	38.946	4.025	35.947	0.156	0.916	3000.0
471	10.828	40.442	4.593	38.652	0.148	0.912	2000.0
472	10.299	38.331	4.087	35.729	0.143	0.928	3000.0
473	9.896	37.176	4.074	33.667	0.151	0.935	4000.0
474	10.642	39.619	4.441	37.34	0.176	0.92	3000.0
475	11.047	41.451	4.635	38.152	0.195	0.903	2000.0
476	11.519	42.753	4.8	39.507	0.186	0.897	3000.0
477	12.636	47.592	5.3	44.471	0.235	0.874	2000.0
478	13.404	50.119	5.947	49.557	0.217	0.854	4000.0
479	10.473	39.072	4.36	37.831	0.173	0.908	2000.0
480	9.027	33.809	3.497	30.216	0.12	0.944	2000.0
481	11.629	43.267	4.916	40.702	0.194	0.901	4000.0
482	10.419	38.781	4.47	36.923	0.161	0.914	3000.0
483	13.16	48.832	5.756	45.362	0.215	0.881	2000.0
484	12.542	46.783	5.1	42.36	0.217	0.891	2000.0
485	11.238	41.966	4.269	36.083	0.175	0.927	2000.0
486	11.213	41.808	4.888	39.591	0.187	0.908	2000.0
487	11.677	43.703	4.88	41.102	0.196	0.903	3000.0
488	10.95	40.842	4.47	38.394	0.182	0.905	2000.0
489	12.36	45.739	5.517	44.29	0.198	0.881	2000.0
490	11.779	43.48	5.013	41.539	0.198	0.883	2000.0
491	12.895	48.07	5.217	46.679	0.204	0.865	3000.0
492	12.499	46.42	5.356	42.902	0.187	0.884	2000.0
493	10.794	40.452	4.272	35.813	0.184	0.921	2000.0
494	12.503	46.427	5.238	41.571	0.197	0.903	3000.0
495	12.704	47.16	5.517	42.849	0.198	0.89	2000.0
496	11.545	43.156	4.738	38.253	0.177	0.916	2000.0
497	11.301	42.141	4.783	39.982	0.178	0.904	2000.0
498	11.155	41.491	4.322	38.526	0.17	0.906	3000.0
499	10.994	40.978	4.703	38.685	0.187	0.904	3000.0
500	13.235	49.471	5.782	47.184	0.203	0.864	3000.0
