MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
non-clustered_tds_1-10Kb	0.003969059026918055	0.005492136474408268	0.004694854648547305	0.004609510506580617	0.005020388615272127	0.013680844401346533	0.012372626761100203	0.026974769611630662	0.011955319144462443	0.0031893448786293106
non-clustered_tds_10-100Kb	0.005079952207232542	0.005892447892498691	0.0012419933732921663	0.002622125558318463	0.008547137751645246	0.032797463629743145	0.000495143643798803	0.01441788291789526	0.08138295858612725	0.00562900324326894
non-clustered_tds_100Kb-1Mb	0.0025112312809725326	0.020522027161812957	0.03571785173976048	0.018345481044120752	0.038255247509388905	0.01917555964430238	0.024319902513138772	0.01271346738096618	0.005031462471412473	0.009709386548705297
non-clustered_tds_1Mb-10Mb	0.001220854715529475	0.009720296684312199	0.0044635898759006415	0.012933143676479691	0.03573730716128837	0.037326257612037395	0.005695711823084295	0.0198279620667502	0.009744018453936359	0.03315606721602749
non-clustered_tds_>10Mb	0.018925608069829136	0.01852391781589943	0.3953025128919967	0.03990535291855692	0.021658933998641675	0.017225691507947942	0.01690442396313633	0.015793371193428492	0.040188819175263665	0.02380193892270464
non-clustered_inv_1-10Kb	5.8729211682120156e-06	5.872524766060219e-06	5.594536086671373e-06	5.039247840462204e-06	5.714392848506225e-06	5.580304611846481e-06	4.713117610072485e-06	5.7500599977007595e-06	5.562865588244867e-06	5.707476160906109e-06
non-clustered_inv_10-100Kb	5.887868502813523e-06	5.878318220920381e-06	5.604770073837756e-06	5.067068036027366e-06	5.704492221350629e-06	5.5960052664385485e-06	4.703865202182195e-06	5.763215172214197e-06	5.537971363346977e-06	5.670295205566023e-06
non-clustered_inv_100Kb-1Mb	5.864988253733869e-06	5.855864040268857e-06	5.594184086540489e-06	5.05933029877032e-06	5.717810502765773e-06	5.578777605929711e-06	4.701423237861409e-06	5.769902793650769e-06	5.553699302684049e-06	5.695602462220381e-06
non-clustered_inv_1Mb-10Mb	5.8738588308969195e-06	5.900716516160825e-06	5.588076355548394e-06	5.054358766054629e-06	5.704405391822749e-06	5.572653703918006e-06	4.714280666306599e-06	5.758551570920058e-06	5.5430502504631204e-06	5.689073289829865e-06
non-clustered_inv_>10Mb	5.861390260806262e-06	5.8704729159614434e-06	5.590204924322816e-06	5.057292521123146e-06	5.71995493660567e-06	5.583644316876437e-06	4.724576686569723e-06	5.757639175091254e-06	5.5531458184088e-06	5.674368145375681e-06
non-clustered_trans	0.03612830667042378	0.7384023289680481	0.16375982149645735	0.1511264319248467	0.47150557600497267	0.3049013205736919	0.21937919439629752	0.3740615604183831	0.12326015541903368	0.09854861184257291
