MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
2:het:0-100kb	2.9066386508276665e-06	0.0010737806828067346	0.014840446274590599	0.004584264915928207	0.0005003778095291389	0.007751559864412659	0.0011923086688012449	0.011971524041308374	3.4010743109306056e-06	0.006377684397787215
2:het:100kb-1Mb	3.8640328717646e-06	3.606089385416426e-06	3.608480663894147e-06	3.7361612095831285e-06	3.3121410841720184e-06	3.530286325453716e-06	3.953153171916532e-06	4.031084908762882e-06	3.936480278880605e-06	3.860282189715922e-06
2:het:1Mb-10Mb	0.05393505804783014	0.030500587720752214	0.027483416895558402	0.005282773880317794	0.030306349396447357	0.02974160867330091	0.02262799193518897	0.018053643862612923	0.09220822443427765	0.02221569195670871
2:het:10Mb-40Mb	0.034080835692873145	0.029170853824167165	0.04860655653112559	0.0440130010684209	0.028884367474228616	0.04767170481306429	0.41635773461312053	0.05190076647387233	0.0359853943457471	0.08324392093766238
2:het:>40Mb	0.0596158599681175	0.03905402441020931	0.05442110712700083	0.0836192276089549	0.034324165202325875	0.04963702926151665	0.0605771537785231	0.33703637139304193	0.041940915047710636	0.06892860839946839
3-4:het:0-100kb	0.028667828381419524	0.029161637170038668	0.0371911455103469	0.014664613866731803	0.03949678340635512	0.04232975446191665	0.023944027005566706	0.007741573203725309	0.06906453320836946	0.024055332831903347
3-4:het:100kb-1Mb	3.8618571855706e-06	3.6009991647715537e-06	3.619050712327278e-06	3.7343098650634738e-06	3.314109988153855e-06	3.5343751875102055e-06	3.9570452785565935e-06	4.022024787190401e-06	3.9399291926753845e-06	3.847786992892342e-06
3-4:het:1Mb-10Mb	0.019870402404392536	0.00988180857792031	0.030964668370643048	0.009405484510471098	0.025263154613282955	0.031011703321957875	0.06024863016972782	0.023199442888170958	0.02242151495567491	0.24660968681404274
3-4:het:10Mb-40Mb	0.27892455403443345	0.09535776105595428	0.08153429054168249	0.07723622285519464	0.057153591048761686	0.07741853764112884	0.08348621160536172	0.11625701473523924	0.4631597485567311	0.07913632295502687
3-4:het:>40Mb	0.3696002053030003	0.13924877227571042	0.05189515915583429	0.22736904255320672	0.5937434908151626	0.29948778987233365	0.07802468844347175	0.13772771511545778	0.07797054483278987	0.0949327620828987
5-8:het:0-100kb	3.865867674787151e-06	3.6046211034631442e-06	3.6175444853026855e-06	3.736969812016682e-06	3.308926580639365e-06	3.5344164303694517e-06	3.949333157967075e-06	4.022808242698055e-06	3.939766408760925e-06	3.8579150136452325e-06
5-8:het:100kb-1Mb	3.867986637063911e-06	3.603751768545458e-06	3.61954787860713e-06	3.734840213144166e-06	3.312143527434608e-06	3.5310086142596845e-06	3.9543509494391235e-06	4.025576086554369e-06	3.934464191972298e-06	3.852340864072308e-06
5-8:het:1Mb-10Mb	3.864708075392977e-06	3.603379310793147e-06	3.6144449850581e-06	3.7388739998266988e-06	3.3102716880543123e-06	3.538702295116404e-06	3.949028693576518e-06	4.021834522180697e-06	3.941127042960235e-06	3.85504551146174e-06
5-8:het:10Mb-40Mb	3.868909399084469e-06	3.6062308205783904e-06	3.615913429312717e-06	3.7399401558386508e-06	3.309530361814597e-06	3.531164718166853e-06	3.949639758522564e-06	4.022474012795458e-06	3.934974260237478e-06	3.858569151188418e-06
5-8:het:>40Mb	3.864595796551077e-06	3.604039190396122e-06	3.6172854767198526e-06	3.733851995288677e-06	3.3077905112364686e-06	3.5348954839093073e-06	3.960747930095779e-06	4.023744257581815e-06	3.935988988362893e-06	3.851165718932298e-06
9+:het:0-100kb	3.860319947852609e-06	3.6039346938945844e-06	3.6158275395741213e-06	3.726681313889254e-06	3.3102210885162123e-06	3.5362601484807825e-06	3.950182350467692e-06	4.034741975070814e-06	3.938307196520552e-06	3.863028775991542e-06
9+:het:100kb-1Mb	3.866990489216036e-06	3.6022062799279225e-06	3.612871351519985e-06	3.7394801815615057e-06	3.3116904135975223e-06	3.5351215722974184e-06	3.949295504235871e-06	4.0276887985336475e-06	3.9365918957140476e-06	3.855489126581485e-06
9+:het:1Mb-10Mb	3.861991035387319e-06	3.6089686856942713e-06	3.614685321195042e-06	3.734412099573521e-06	3.309882782393846e-06	3.533994844276134e-06	3.953190642971316e-06	4.021480977349376e-06	3.940130827435828e-06	3.859285736588227e-06
9+:het:10Mb-40Mb	3.855176638992506e-06	3.6158005657415227e-06	3.6102539893293813e-06	3.7330235625448326e-06	3.312032346903053e-06	3.529855822789104e-06	3.950316590486666e-06	4.028233068685559e-06	3.939960959180699e-06	3.858301733515179e-06
9+:het:>40Mb	3.872268187888383e-06	3.609173136923205e-06	3.616533351619601e-06	3.738279425611087e-06	3.314490656861092e-06	3.5275209287086665e-06	3.943669983908294e-06	4.026255483845873e-06	3.926724407614823e-06	3.866144440563464e-06
