MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
2:LOH:1Mb-10Mb	3.7179606171182657e-06	3.7097498128702e-06	3.4162667496833538e-06	3.4343270254105217e-06	4.001567853087806e-06	3.764143613537385e-06	3.8579535117397865e-06	3.997683522208325e-06	3.882374088801654e-06
2:LOH:10Mb-40Mb	3.7181851373375706e-06	3.709751135517081e-06	3.415996187715843e-06	3.4339622405434312e-06	4.001856914641167e-06	3.769356080312036e-06	3.857192268204912e-06	3.997818927584893e-06	3.882037476641287e-06
2:LOH:>40Mb	3.718006071940394e-06	3.709752060416349e-06	3.4159579277849284e-06	3.4340323517476622e-06	4.00178376768423e-06	3.7684950930270135e-06	3.8574771796175965e-06	3.997926897568497e-06	3.881886726983197e-06
3-4:LOH:0-100kb	3.7172891113090857e-06	3.7097422465421913e-06	3.4150432404163684e-06	3.4335604053541414e-06	4.001927548927142e-06	3.772483226896384e-06	3.858142061822889e-06	3.998504073214167e-06	3.880042648456872e-06
3-4:LOH:100kb-1Mb	3.718049767181597e-06	3.709737813736069e-06	3.415754575067484e-06	3.434050907026365e-06	4.001822048124382e-06	3.769577594994189e-06	3.857458720397666e-06	3.997810661219589e-06	3.88157914564502e-06
3-4:LOH:1Mb-10Mb	3.718246611494891e-06	3.7097552489200327e-06	3.415885474917052e-06	3.433763376059995e-06	4.002044638099278e-06	3.7714049879014057e-06	3.85697879054181e-06	3.997798644429339e-06	3.881923649050379e-06
3-4:LOH:10Mb-40Mb	3.7182187606923377e-06	3.709738624067427e-06	3.4157872640281147e-06	3.433906085391736e-06	4.001957019688973e-06	3.7705543927302187e-06	3.8572070710296555e-06	3.997627526035092e-06	3.881758775900579e-06
3-4:LOH:>40Mb	3.717951707061573e-06	3.7097394205858335e-06	3.415839510919961e-06	3.4340025204288027e-06	4.001808975175436e-06	3.7684003183358074e-06	3.857667258886366e-06	3.997800617525464e-06	3.881690047355946e-06
5-8:LOH:0-100kb	3.7179553678914346e-06	3.7097455983996495e-06	3.415520399216708e-06	3.4337722208503394e-06	4.001964919304157e-06	3.772075123549712e-06	3.857309908945617e-06	3.99802772837136e-06	3.881200012253672e-06
5-8:LOH:100kb-1Mb	3.718035277891829e-06	3.709770928821854e-06	3.415740499870337e-06	3.4337815834790673e-06	4.001901122407503e-06	3.7710853546286672e-06	3.857188566714242e-06	3.998063796194929e-06	3.881564337159027e-06
5-8:LOH:1Mb-10Mb	3.7179584649873477e-06	3.709751784683135e-06	3.415619984158138e-06	3.433719181691719e-06	4.001970263793453e-06	3.77156462405992e-06	3.8573586541623684e-06	3.998031279272271e-06	3.881280976557377e-06
5-8:LOH:10Mb-40Mb	3.7180301705745935e-06	3.709754116371755e-06	3.4157046331027632e-06	3.433808857710774e-06	4.001953705554229e-06	3.771341569233755e-06	3.8572114874364515e-06	3.9980141424702315e-06	3.88157195884542e-06
5-8:LOH:>40Mb	3.718105605816646e-06	3.7097473951348547e-06	3.4159982139420584e-06	3.4339671817994466e-06	4.001872555079444e-06	3.7687268314812172e-06	3.857372011048632e-06	3.997761720816476e-06	3.8820208927283774e-06
9+:LOH:0-100kb	3.7181749263979214e-06	3.7097516005673014e-06	3.415831372972315e-06	3.4339092192952057e-06	4.001912013364972e-06	3.7703801021820028e-06	3.857162506601952e-06	3.99779374786462e-06	3.881831500374133e-06
9+:LOH:100kb-1Mb	3.7180692018417005e-06	3.709741070551331e-06	3.4158648348183455e-06	3.4339735338060896e-06	4.00183856520897e-06	3.769328088054635e-06	3.857385443553519e-06	3.997837642344416e-06	3.88177300728465e-06
9+:LOH:1Mb-10Mb	3.7183544661232302e-06	3.709737731298901e-06	3.415828791800713e-06	3.4338139797814303e-06	4.002049975731836e-06	3.7712672515368695e-06	3.8570008192291285e-06	3.997516714575245e-06	3.881870378469543e-06
9+:LOH:10Mb-40Mb	3.7181206293510628e-06	3.7097396369603075e-06	3.4157931946770623e-06	3.433859106239723e-06	4.001954318113121e-06	3.770510717004072e-06	3.857310124845803e-06	3.997784431867539e-06	3.8816233888816494e-06
9+:LOH:>40Mb	3.7181386842117804e-06	3.709757725403051e-06	3.4158395270040114e-06	3.433932179735144e-06	4.001876777891766e-06	3.770211427450931e-06	3.857196064603663e-06	3.99786405833363e-06	3.881809911648659e-06
2:het:0-100kb	0.0005540624797760615	0.001770882077187272	0.0007896611511951974	0.011551049837919389	2.872766739264363e-06	0.0069594856774177795	0.018531333909124797	0.00225599560281909	0.0005254028266599537
2:het:100kb-1Mb	3.718105747633871e-06	3.7097618656218857e-06	3.415895854592541e-06	3.4338218195540393e-06	4.001938891171619e-06	3.770955856154501e-06	3.857082666959499e-06	3.998077677844001e-06	3.881815608965056e-06
2:het:1Mb-10Mb	0.02849917149166243	0.024537845664841094	0.020622999990083556	0.027683941493482727	0.08019874653015839	0.002545781304171502	0.014481423113435967	0.009950179498590055	0.0852722355930776
2:het:10Mb-40Mb	0.026050531613134493	0.02489222047202508	0.026388071118177876	0.04364243454064157	0.03467450127623844	0.03799878976260034	0.049921753206210624	0.3826103553222283	0.11502657154189569
