MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
3-4:LOH:10Mb-40Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447750123624e-06	4.02113942482174e-06
3-4:LOH:>40Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447750123624e-06	4.02113942482174e-06
5-8:LOH:0-100kb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
5-8:LOH:100kb-1Mb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447750123624e-06	4.02113942482174e-06
5-8:LOH:1Mb-10Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
5-8:LOH:10Mb-40Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
5-8:LOH:>40Mb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.791333037042932e-06	3.7836447750123624e-06	4.021139423912246e-06
9+:LOH:0-100kb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.791333037042932e-06	3.7836447750123624e-06	4.021139423912246e-06
9+:LOH:100kb-1Mb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447750123624e-06	4.02113942482174e-06
9+:LOH:1Mb-10Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139423002751e-06
9+:LOH:10Mb-40Mb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139422093256e-06
9+:LOH:>40Mb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139422093256e-06
2:het:0-100kb	0.0002568352246949752	0.0016240812816206685	0.01466100061680669	0.0002025916530182741	0.0077157212414597325	0.0022387852906856904
2:het:100kb-1Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139423002751e-06
2:het:1Mb-10Mb	0.022312265664747928	0.02244269793128529	0.01820527501364485	0.08384169986274889	0.010759694858393018	0.028343838346633
2:het:10Mb-40Mb	0.027588415622059766	0.028109553339853925	0.060161191657775004	0.03834581435428373	0.050617522642756756	0.28858613197609523
2:het:>40Mb	0.04561798783688872	0.06492934598979198	0.0774260487750614	0.05257769642423516	0.1392815095057134	0.09576946768287076
3-4:het:0-100kb	0.03039801960193562	0.018670587645844734	0.03291231975336805	0.05862123009979806	0.01395871805128332	0.014930654393816923
3-4:het:100kb-1Mb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139422093256e-06
3-4:het:1Mb-10Mb	0.022652996205545957	0.032756653360778126	0.05798929396475714	0.03146110992701827	0.03191695406497944	0.10249836589243323
3-4:het:10Mb-40Mb	0.11508550050263054	0.12005748785142155	0.05519291734807675	0.361551676329714	0.1154525941140816	0.08634868834604552
3-4:het:>40Mb	0.507708176881075	0.20413289665916817	0.09192856207984783	0.15475758169207418	0.23529694444760998	0.09544236085127811
5-8:het:0-100kb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139423002751e-06
5-8:het:100kb-1Mb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447750123624e-06	4.02113942482174e-06
5-8:het:1Mb-10Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
5-8:het:10Mb-40Mb	3.5604707713901006e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139422093256e-06
5-8:het:>40Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
9+:het:0-100kb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
9+:het:100kb-1Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330361334373e-06	3.7836447750123624e-06	4.02113942482174e-06
9+:het:1Mb-10Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
9+:het:10Mb-40Mb	3.5604707713901006e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139422093256e-06
9+:het:>40Mb	3.560470771844848e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139422093256e-06
