MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
non-clustered_del_1-10Kb	0.009630662537170872	0.06955598811462868	0.006462716703375533	0.009776042183143317	0.09557449844860988	0.007421338834110557	0.04670850079007823	0.02844550847995771
non-clustered_del_10-100Kb	0.00531475220583329	0.025532527230008	0.008203332664144214	0.02967126048035828	0.010615983661182663	0.32324886829130683	0.020420941710688638	0.021772863539979433
non-clustered_del_100Kb-1Mb	0.005458398756190305	0.033711004938310904	0.05932474317190456	0.002784232313454256	0.023264389889143307	0.010496767822432914	0.05281872949720336	0.07419037817531643
non-clustered_del_1Mb-10Mb	0.0035445365762863147	0.02160050561498168	0.17106074175479652	0.029433609355803286	0.0032116191938723684	0.01489999206946762	0.021078402763087943	0.13664597262487196
non-clustered_del_>10Mb	0.8742295904755593	0.09102890563826001	0.575712159731775	0.35610782680182346	0.5529481832357255	0.41884048621778724	0.37179744526569813	0.16105344822146422
non-clustered_tds_1-10Kb	0.0008598469589855519	0.006213926801318651	0.014033553869281264	0.008885852797514665	0.0064253377799512795	0.008235040263362284	0.017362051024282805	0.01500586046049076
non-clustered_tds_10-100Kb	0.02560771269541452	0.006941749860187826	0.010805984102891695	0.004206513966860454	0.054671983575818574	0.007847144251388603	0.016632042866701887	0.008907494352377402
non-clustered_tds_100Kb-1Mb	0.0013664569879970109	0.018104051952850916	0.014083688538647008	0.04016327387875094	0.005755724699527193	0.009213573905619391	0.018509056718216493	0.04416966093912545
non-clustered_tds_1Mb-10Mb	0.006930674843682695	0.021805001438024715	0.01032373984193425	0.004901042464815994	0.03316888424180449	0.014521994830537491	0.031229073070220027	0.01682755844134464
non-clustered_tds_>10Mb	0.020277337204336516	0.020024701335875583	0.016335463143488625	0.35120485905080817	0.015401527886513888	0.039707326448123685	0.016095021226946435	0.02940158325192436
non-clustered_inv_1-10Kb	5.967171678342264e-06	5.679053698206576e-06	5.230104097166235e-06	5.3986006107518186e-06	5.571806056117623e-06	4.792180986619173e-06	5.467151825815336e-06	5.4118552525249475e-06
non-clustered_inv_10-100Kb	5.967211336988853e-06	5.679075517388884e-06	5.23007969144435e-06	5.398596125600945e-06	5.571779895483076e-06	4.792236450568832e-06	5.467133080709674e-06	5.411846661076852e-06
non-clustered_inv_100Kb-1Mb	5.967180380207271e-06	5.679057613507305e-06	5.230095146374316e-06	5.398598852423457e-06	5.571799696994617e-06	4.792199492057448e-06	5.467148527389435e-06	5.411858176359877e-06
non-clustered_inv_1Mb-10Mb	5.967157180511995e-06	5.679044803102489e-06	5.230117848839649e-06	5.398603342451583e-06	5.571815892864152e-06	4.79215069723335e-06	5.467168744913168e-06	5.411858032858888e-06
non-clustered_inv_>10Mb	5.967162630867051e-06	5.679043330183104e-06	5.23011020807187e-06	5.398598862363333e-06	5.571822673125837e-06	4.792151500785434e-06	5.467144601230045e-06	5.411867082021117e-06
non-clustered_trans	0.04665471731650969	0.6853623739778996	0.11354403697031094	0.1627521275937998	0.19884485217704595	0.14546683067904848	0.38723392819380387	0.4634660207426496
