NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
295	12.273	45.772	5.06	42.186	0.191	0.889	2000.0
296	13.023	48.377	5.41	44.137	0.218	0.891	3000.0
297	10.96	40.984	4.625	38.219	0.155	0.907	2000.0
298	10.715	40.2	4.36	37.767	0.187	0.903	2000.0
299	9.733	36.171	4.094	34.937	0.133	0.929	2000.0
300	12.162	45.565	5.488	43.563	0.202	0.882	2000.0
301	12.322	45.828	5.134	43.024	0.213	0.893	2000.0
302	12.173	45.94	4.927	42.54	0.213	0.883	3000.0
303	12.169	45.616	4.902	41.444	0.201	0.887	2000.0
304	12.52	46.866	4.967	40.737	0.198	0.898	3000.0
305	11.141	41.695	4.765	40.017	0.182	0.894	3000.0
306	10.127	37.793	4.218	37.589	0.165	0.9	4000.0
307	10.649	40.04	4.257	34.762	0.185	0.926	4000.0
308	7.819	29.271	3.241	30.386	0.119	0.941	2000.0
309	10.944	41.056	4.402	38.37	0.176	0.906	3000.0
310	11.112	41.44	4.663	38.216	0.161	0.908	3000.0
311	13.796	51.448	5.736	47.03	0.238	0.86	2000.0
312	11.602	42.774	5.047	40.391	0.182	0.9	2000.0
313	10.702	39.841	4.549	38.01	0.172	0.91	2000.0
314	11.186	41.683	4.617	38.164	0.164	0.913	2000.0
315	11.661	43.346	4.738	39.119	0.186	0.908	3000.0
316	11.712	44.059	4.642	39.343	0.212	0.896	2000.0
317	10.926	40.876	4.777	39.348	0.155	0.916	2000.0
318	11.589	43.233	4.565	39.034	0.183	0.899	3000.0
319	11.465	42.763	4.88	41.082	0.183	0.893	3000.0
320	10.609	39.561	4.365	36.86	0.16	0.914	4000.0
321	9.305	35.001	3.563	31.001	0.154	0.942	4000.0
322	9.981	37.312	4.004	33.41	0.156	0.931	4000.0
323	11.937	44.763	5.239	44.717	0.193	0.879	4000.0
324	11.752	43.902	5.218	44.127	0.191	0.879	4000.0
325	9.643	36.013	3.883	34.842	0.151	0.925	3000.0
326	10.761	40.139	4.112	35.029	0.168	0.922	2000.0
327	9.389	35.188	3.799	33.752	0.136	0.925	3000.0
328	10.684	39.77	4.478	38.536	0.172	0.907	5000.0
329	10.062	37.59	4.063	33.917	0.161	0.92	2000.0
330	11.419	42.454	5.012	42.073	0.189	0.891	5000.0
331	11.708	43.602	4.963	41.28	0.194	0.902	2000.0
332	9.789	36.554	4.038	35.604	0.134	0.918	2000.0
333	10.886	40.64	4.536	36.969	0.179	0.916	2000.0
334	13.455	50.013	5.329	43.478	0.222	0.888	4000.0
335	11.591	42.987	4.781	40.294	0.18	0.898	2000.0
336	11.094	41.607	4.542	36.472	0.203	0.918	2000.0
337	10.304	38.72	4.427	36.41	0.19	0.916	4000.0
338	12.308	45.83	5.39	44.216	0.186	0.877	2000.0
339	10.133	38.031	4.223	36.5	0.157	0.914	2000.0
340	12.463	46.617	5.171	43.455	0.2	0.889	4000.0
341	12.637	47.29	5.579	44.349	0.195	0.886	2000.0
342	11.119	41.955	4.532	38.949	0.176	0.908	4000.0
343	12.452	46.535	5.152	42.151	0.218	0.895	2000.0
344	12.122	45.331	5.251	43.644	0.198	0.892	3000.0
345	11.638	43.533	5.18	42.407	0.209	0.88	2000.0
346	11.155	41.675	4.477	36.681	0.181	0.927	5000.0
347	10.785	40.146	4.493	37.19	0.166	0.918	3000.0
348	11.507	42.952	4.88	41.524	0.174	0.892	3000.0
349	11.71	43.71	4.845	39.471	0.189	0.906	2000.0
350	10.263	38.315	4.274	36.952	0.163	0.919	3000.0
351	10.204	38.294	4.111	35.794	0.171	0.916	3000.0
352	10.663	39.911	4.129	36.132	0.167	0.92	3000.0
353	12.283	45.797	4.799	41.603	0.221	0.89	2000.0
354	11.57	43.298	4.865	39.58	0.186	0.899	2000.0
355	11.847	43.924	5.099	43.006	0.166	0.884	3000.0
356	11.028	40.836	4.816	39.007	0.17	0.908	2000.0
357	10.625	39.574	4.481	37.184	0.168	0.915	3000.0
358	12.002	44.741	5.211	43.059	0.213	0.888	2000.0
359	11.184	41.825	4.615	38.357	0.179	0.904	6000.0
360	12.012	44.723	4.633	41.116	0.181	0.897	3000.0
361	10.427	39.206	4.612	38.842	0.188	0.908	2000.0
362	10.842	40.489	4.252	36.871	0.166	0.924	2000.0
363	11.924	44.784	5.072	43.29	0.197	0.878	5000.0
364	10.826	40.526	4.341	37.478	0.168	0.914	3000.0
365	11.928	44.54	4.689	40.472	0.191	0.904	5000.0
366	12.256	45.668	5.19	42.391	0.207	0.891	3000.0
367	10.321	38.407	4.211	35.831	0.147	0.92	2000.0
368	10.235	38.17	4.183	35.005	0.15	0.926	9000.0
369	10.696	39.973	4.498	36.865	0.166	0.922	5000.0
370	10.086	37.783	4.281	35.91	0.17	0.918	5000.0
371	12.741	47.769	5.338	45.285	0.209	0.877	3000.0
372	11.196	41.792	4.671	40.252	0.177	0.908	3000.0
373	12.016	44.875	4.8	41.541	0.206	0.892	2000.0
374	11.127	41.625	4.653	39.725	0.187	0.901	5000.0
375	10.432	38.717	4.223	36.198	0.156	0.916	4000.0
376	10.617	39.757	4.247	36.786	0.156	0.91	3000.0
377	11.276	42.367	4.861	41.475	0.183	0.898	2000.0
378	10.911	40.8	4.695	40.288	0.168	0.904	2000.0
379	11.417	42.516	4.817	39.221	0.176	0.901	2000.0
380	9.969	37.738	3.993	34.971	0.16	0.908	2000.0
381	11.038	41.432	4.319	36.271	0.192	0.919	4000.0
382	10.161	38.291	4.153	34.044	0.172	0.922	3000.0
383	10.71	40.222	4.098	35.35	0.196	0.911	2000.0
384	12.257	45.993	5.1	40.844	0.199	0.901	2000.0
385	10.96	41.092	4.521	40.559	0.167	0.899	2000.0
386	10.289	38.292	4.374	36.949	0.162	0.911	5000.0
387	11.079	41.328	4.733	39.09	0.159	0.909	3000.0
388	10.01	37.305	4.33	34.357	0.178	0.921	3000.0
389	10.592	39.498	4.469	38.299	0.177	0.909	5000.0
390	13.759	51.601	5.732	47.027	0.226	0.863	2000.0
391	9.9	36.854	3.998	33.873	0.171	0.924	2000.0
392	11.813	44.046	4.671	38.74	0.188	0.909	3000.0
393	10.685	39.942	4.675	39.842	0.167	0.905	4000.0
394	11.67	43.525	4.757	38.48	0.194	0.911	2000.0
395	11.631	43.681	4.92	40.639	0.192	0.906	3000.0
396	10.706	40.108	4.411	37.536	0.185	0.905	2000.0
397	10.645	40.009	4.652	38.226	0.178	0.906	2000.0
398	10.05	37.698	4.203	35.322	0.159	0.916	2000.0
399	9.364	35.28	3.934	33.576	0.146	0.926	2000.0
400	10.962	41.196	4.636	38.681	0.157	0.913	3000.0
401	13.237	49.346	5.602	43.235	0.229	0.88	3000.0
402	9.625	35.903	3.968	31.301	0.172	0.943	2000.0
403	10.216	37.985	4.049	34.469	0.159	0.929	3000.0
404	12.529	46.838	5.191	43.038	0.21	0.895	2000.0
405	9.679	36.145	3.971	34.226	0.148	0.929	4000.0
406	12.737	47.432	5.165	43.487	0.227	0.88	3000.0
407	8.655	32.204	3.579	30.685	0.122	0.947	3000.0
408	12.355	46.066	5.182	42.888	0.208	0.888	4000.0
409	11.845	44.34	4.678	40.877	0.172	0.898	2000.0
410	12.093	44.896	5.151	40.42	0.181	0.897	3000.0
411	11.825	44.237	4.884	41.261	0.194	0.894	3000.0
412	9.985	36.929	4.14	33.517	0.162	0.934	3000.0
413	11.15	41.932	4.332	36.71	0.208	0.907	3000.0
414	10.727	39.815	4.582	38.034	0.171	0.913	3000.0
415	11.534	43.021	4.675	38.286	0.198	0.912	2000.0
416	10.327	38.434	4.472	36.533	0.15	0.91	3000.0
417	10.222	38.124	4.49	37.948	0.135	0.919	3000.0
418	11.759	43.804	5.121	41.075	0.175	0.896	4000.0
419	11.505	42.993	5.046	41.913	0.196	0.901	2000.0
420	11.363	42.333	4.552	36.004	0.195	0.923	2000.0
421	10.581	39.341	4.268	35.988	0.174	0.919	5000.0
422	11.392	42.462	4.641	39.573	0.182	0.896	3000.0
423	10.345	38.662	4.463	37.97	0.161	0.906	3000.0
424	11.208	41.837	4.497	38.174	0.183	0.912	2000.0
425	12.006	45.208	5.241	42.455	0.221	0.882	2000.0
426	11.571	43.254	4.729	41.533	0.19	0.903	4000.0
427	11.167	41.955	4.432	38.785	0.185	0.908	2000.0
428	9.052	33.908	3.84	31.446	0.13	0.941	3000.0
429	10.181	38.215	4.225	34.591	0.172	0.929	2000.0
430	12.097	45.042	4.868	40.85	0.184	0.907	2000.0
431	9.842	36.928	3.879	33.044	0.154	0.924	4000.0
432	12.867	48.204	5.633	46.038	0.231	0.872	4000.0
433	10.367	38.84	4.053	35.918	0.171	0.921	2000.0
434	11.567	42.966	4.664	36.917	0.187	0.909	2000.0
435	11.401	42.899	4.673	40.255	0.207	0.896	3000.0
436	12.479	46.444	4.934	43.078	0.218	0.887	3000.0
437	12.069	45.073	4.968	39.766	0.211	0.902	4000.0
438	9.479	35.317	3.599	33.163	0.128	0.927	5000.0
439	10.599	39.614	4.049	35.038	0.14	0.918	2000.0
440	10.282	38.475	4.063	34.602	0.152	0.923	2000.0
441	12.531	47.101	5.048	43.136	0.23	0.874	2000.0
442	10.372	39.046	4.274	37.812	0.143	0.913	2000.0
443	11.695	43.671	4.796	39.388	0.197	0.903	2000.0
444	10.891	40.35	4.421	37.775	0.188	0.909	2000.0
445	11.508	43.002	4.409	37.421	0.192	0.911	5000.0
446	10.052	37.534	3.97	33.364	0.161	0.924	3000.0
447	12.502	46.656	5.121	43.839	0.199	0.892	3000.0
448	12.624	47.188	5.242	42.982	0.215	0.893	2000.0
449	11.944	44.685	5.095	45.389	0.2	0.874	3000.0
450	11.88	44.34	4.535	40.442	0.187	0.892	4000.0
451	11.597	43.403	5.015	41.839	0.184	0.895	2000.0
452	10.84	40.679	4.56	38.114	0.164	0.91	2000.0
453	11.582	43.239	4.808	41.189	0.178	0.91	2000.0
454	12.258	46.043	5.153	44.17	0.217	0.877	3000.0
455	12.092	45.415	4.651	40.376	0.223	0.889	5000.0
456	10.244	38.217	4.264	34.778	0.163	0.931	4000.0
457	12.673	47.264	5.261	42.292	0.181	0.892	3000.0
458	12.151	45.187	4.902	40.218	0.204	0.902	2000.0
459	11.082	41.261	4.508	36.792	0.172	0.917	2000.0
460	10.585	39.457	4.356	37.265	0.19	0.911	3000.0
461	12.076	45.037	4.97	41.829	0.198	0.897	3000.0
